0.5586	0.2196	-1.2014	-0.5404	-0.2665	-0.2711	0.2014	-0.5213
-0.0831	-0.7154	-1.0690	-1.5714	1.4282	-2.1643	0.9852	-0.2048
1.8932	-0.6431	-2.1642	1.3957	0.5971	-0.8850	0.1188	-3.5622
0.5131	-1.1049	0.2534	-2.2538	0.7952	-0.5648	-0.6594	1.5333
-1.2137	0.3953	-0.9429	-1.2541	-1.9811	1.4660	1.0517	0.9952
0.2803	-0.4128	-0.3871	-1.9614	0.0549	-0.8530	0.3085	1.3127
-0.4755	0.5274	-1.2686	-0.3193	-1.2961	0.1195	1.0089	-0.4378
-1.5607	-0.4108	-0.3081	-2.6322	-0.3285	-0.2345	1.4043	1.2603
0.7160	-0.3935	-0.6851	-1.0405	-1.6039	1.1256	0.4871	0.1460
-2.9682	0.1252	0.5983	-2.4930	0.7003	0.2225	0.9729	1.1994
0.4345	-1.0859	0.3709	-1.3516	-1.0621	0.1277	-0.2809	1.3234
0.1091	0.0363	-1.2549	-0.8332	-1.0013	-1.2753	1.1182	0.5819
0.4690	-0.7158	-0.1827	-1.2397	0.5096	-1.4774	0.0445	1.0651
-1.1968	0.4676	-0.4571	-0.0610	-1.6816	0.1739	1.3390	-0.2972
-0.4150	0.4076	-2.1259	0.2731	-0.5516	-0.5153	1.1806	-1.0447
-0.8496	-1.0844	0.0769	-2.1571	1.8834	-0.5395	0.1344	-0.1586
0.2323	-0.1374	0.1785	-1.0310	-0.8348	0.1037	-0.0661	0.6570
-0.9377	-1.1317	0.5850	-2.4410	0.0788	-0.6867	0.4351	1.5775
-0.2070	-0.1828	-0.9809	-1.5149	-0.4539	-0.6946	0.9012	0.6800
0.4455	-1.2579	1.3533	-2.4548	-0.0889	0.4404	-1.4652	2.1256
-0.7490	-0.6543	-0.7393	-1.8036	1.8121	-1.1226	0.5185	-0.6781
0.4243	-0.6889	-0.2852	-1.8451	-0.9812	-0.4526	0.5025	1.4513
-0.1342	-0.5505	0.2190	-1.7856	-0.1012	-0.2207	0.0796	0.6479
2.0782	-0.8877	-1.1722	-0.8583	1.5500	-0.2595	-0.7773	-2.4380
2.5299	-0.2604	-1.7007	-0.4925	0.4378	-1.3637	-0.4493	-0.7803
-1.8471	1.1349	-1.5748	-1.2515	-0.0026	0.0135	1.8393	-1.2174
-0.4140	0.6876	-1.3733	-0.1730	-1.7119	1.5379	0.6601	-0.7996
-0.9096	-0.0127	-0.8214	-1.2690	-1.7965	-0.0251	1.2626	1.4237
-0.0581	-1.2416	-0.3442	-2.1074	0.2257	-0.8312	0.4189	1.3324
0.7310	-1.3104	0.8249	-2.3390	-0.5223	-0.0407	-0.9229	2.0670
0.9704	0.4049	-1.6958	1.0278	-0.7664	0.1117	-0.0587	-1.4971
